"bullet","land","x","value","id","raw_sig","se","sig"
"Bullet 2","Land 2",1820.835,51.1057213333333,11,-0.0352755355305732,0.0519182803162391,-0.126195791782007
"Bullet 2","Land 2",1821.48,50.9510484444444,11,-0.0835548971767821,0.0519600548154255,-0.0879026415738773
"Bullet 2","Land 2",1822.125,50.8197531111111,11,-0.108365232006165,0.0520023375221249,-0.0426111761953144
"Bullet 2","Land 2",1822.77,50.7160704444444,11,-0.105471445710243,0.0520451305387813,0.0083873108023509
"Bullet 2","Land 2",1823.415,50.6367315555556,11,-0.0781424439804965,0.0520884359624759,0.0638015258677882
"Bullet 2","Land 2",1824.06,50.5820326666667,11,-0.0260820213973361,0.0521322558848285,0.122340175449667
"Bullet 2","Land 2",1824.705,50.5432845555556,11,0.0420205830144411,0.0521765923918991,0.182711965996678
"Bullet 2","Land 2",1825.35,50.4954794444444,11,0.101157574674353,0.0522214475640911,0.243625603957447
"Bullet 2","Land 2",1825.995,50.4024333333333,11,0.115144936779842,0.0522668234760541,0.303789795780666
"Bullet 2","Land 2",1826.64,50.2439361111111,11,0.0637725414171868,0.0523127221965888,0.361913247915004
"Bullet 2","Land 2",1827.285,50.0573524444444,11,-0.0155949615495956,0.0523591457885517,0.41670466680913
"Bullet 2","Land 2",1827.93,49.9133178888889,11,-0.0523220333675383,0.0524060963087613,0.466872758911714
"Bullet 2","Land 2",1828.575,49.8531,11,-0.00514113528370075,0.0524535758079048,0.520544281482954
"Bullet 2","Land 2",1829.22,49.8694258888889,11,0.118674827010402,0.052501586330446,0.584974485316438
"Bullet 2","Land 2",1829.865,49.9198978888889,11,0.276728170045487,0.0525501299145342,0.657564817160924
"Bullet 2","Land 2",1830.51,49.9616568888889,11,0.42615976590784,0.0525992085919133,0.735716723765166
"Bullet 2","Land 2",1831.155,49.9856396666667,11,0.557906375572607,0.052648824387833,0.816831651877921
"Bullet 2","Land 2",1831.8,50.0092337777778,11,0.689355537792729,0.0526989793209602,0.898311048247944
"Bullet 2","Land 2",1832.445,50.0505802222222,11,0.838648235765632,0.0527496754032918,0.977556359624018
"Bullet 2","Land 2",1833.09,50.1170355555556,11,1.0131410082442,0.0528009146400681,1.05196903275484
"Bullet 2","Land 2",1833.735,50.199276,11,1.20351006064804,0.0528526990296876,1.1189505143892
"Bullet 2","Land 2",1834.38,50.2717315555556,11,1.38418537617456,0.0529050305636233,1.17590225127585
"Bullet 2","Land 2",1835.025,50.3118716666667,11,1.53263638246556,0.0529579112263389,1.22022569016354
"Bullet 2","Land 2",1835.67,50.3173384444444,11,1.64650517382959,0.0530113429952074,1.25957105976837
"Bullet 2","Land 2",1836.315,50.2975631111111,11,1.7352229556862,0.05306532784043,1.30240172909751
"Bullet 2","Land 2",1836.96,50.2553056666667,11,1.80154971123281,0.0531198677249568,1.34733885533636
"Bullet 2","Land 2",1837.605,50.1804671111111,11,1.83538642366679,0.0531749646044075,1.39300359567032
"Bullet 2","Land 2",1838.25,50.071365,11,1.83505063174108,0.0532306204269951,1.43801710728476
"Bullet 2","Land 2",1838.895,49.9615052222222,11,1.83404820754195,0.0532868371334492,1.48100054736508
"Bullet 2","Land 2",1839.54,49.8782878888889,11,1.8597792453779,0.0533436166569412,1.52057507309669
"Bullet 2","Land 2",1840.185,49.8036565555556,11,1.89418728400187,0.053400960923011,1.55536184166496
"Bullet 2","Land 2",1840.83,49.7071912222222,11,1.90685230661128,0.0534588718494942,1.58398201025529
"Bullet 2","Land 2",1841.475,49.5781985555556,11,1.88708096307013,0.0535173513464516,1.60505673605307
"Bullet 2","Land 2",1842.12,49.4224953333333,11,1.84069001435358,0.0535764013160988,1.6172071762437
"Bullet 2","Land 2",1842.765,49.2482712222222,11,1.77586911032569,0.0536360236527381,1.61775393489919
"Bullet 2","Land 2",1843.41,49.0611467777778,11,1.6982387897394,0.0536962202426914,1.60647727602164
"Bullet 2","Land 2",1844.055,48.8693387777778,11,1.61601581356989,0.0537569929642343,1.58568784669155
"Bullet 2","Land 2",1844.7,48.6936388888889,11,1.5499918316812,0.0538183436875315,1.5576962939894
"Bullet 2","Land 2",1845.345,48.5498477777778,11,1.51596749393737,0.0538802742745741,1.52481326499569
"Bullet 2","Land 2",1845.99,48.4307351111111,11,1.50671245020247,0.0539427865791175,1.4893494067909
"Bullet 2","Land 2",1846.635,48.3147894444444,11,1.50071523922942,0.0540058824466215,1.45361536645553
"Bullet 2","Land 2",1847.28,48.1854492222222,11,1.48141428866007,0.0540695637141908,1.41992179107007
"Bullet 2","Land 2",1847.925,48.0467391111111,11,1.45283424835846,0.0541338322105183,1.39057932771501
"Bullet 2","Land 2",1848.57,47.9190807777778,11,1.43539676818867,0.0541986897558284,1.36789862347083
"Bullet 2","Land 2",1849.215,47.8149597777778,11,1.44158792303546,0.0542641412303888,1.34316122159918
"Bullet 2","Land 2",1849.86,47.7202671111111,11,1.45729924789579,0.0543301914437537,1.30758827930502
"Bullet 2","Land 2",1850.505,47.5891956666667,11,1.43672363835738,0.0543968420895036,1.26339986458381
"Bullet 2","Land 2",1851.15,47.3705731111111,11,1.32868876778572,0.0544640948422153,1.21281604543103
"Bullet 2","Land 2",1851.795,47.0698757777778,11,1.138670976213,0.0545319513573609,1.15805688984216
"Bullet 2","Land 2",1852.44,46.742021,11,0.921587603671377,0.0546004132712096,1.10134246581266
"Bullet 2","Land 2",1853.085,46.4456215555556,11,0.736051434637467,0.0546694822007333,1.04489284133801
"Bullet 2","Land 2",1853.73,46.2376188888889,11,0.639003920254552,0.0547391597435158,0.990928084413682
"Bullet 2","Land 2",1854.375,46.1205357777778,11,0.63296784499925,0.054809447477665,0.941668263035155
"Bullet 2","Land 2",1855.02,45.9898773333333,11,0.613448326681493,0.054880346961729,0.899333445197899
"Bullet 2","Land 2",1855.665,45.7150037777778,11,0.449805594222362,0.0549518597346157,0.866143698897388
"Bullet 2","Land 2",1856.31,45.4190153333333,11,0.265139876542911,0.0550239873155153,0.838604391807668
"Bullet 2","Land 2",1856.955,45.2719875555556,11,0.229526735897558,0.0550967312038276,0.811726077018408
"Bullet 2","Land 2",1857.6,45.2243438888889,11,0.293389623429498,0.0551700928790913,0.785486600648545
"Bullet 2","Land 2",1858.245,45.2081323333333,11,0.388776545837644,0.0552440738009178,0.75986380881699
"Bullet 2","Land 2",1858.89,45.191055,11,0.483389620931902,0.0553186754089285,0.734835547642662
"Bullet 2","Land 2",1859.535,45.1640401111111,11,0.568157077633352,0.0553938991226949,0.710379663244481
"Bullet 2","Land 2",1860.18,45.141353,11,0.657344255974159,0.0554697463416832,0.686474001741365
"Bullet 2","Land 2",1860.825,45.1326156666667,11,0.760573162653174,0.0555462184452014,0.663096409252236
"Bullet 2","Land 2",1861.47,45.116154,11,0.856169693258096,0.0556233167923511,0.640224731896011
"Bullet 2","Land 2",1862.115,45.0710226666667,11,0.923188521154444,0.0557010427219817,0.617836815791611
"Bullet 2","Land 2",1862.76,45.0034075555556,11,0.96781554192993,0.0557793975526485,0.595910507057955
"Bullet 2","Land 2",1863.405,44.9099583333333,11,0.986700428950073,0.0558583825825747,0.577825252122962
"Bullet 2","Land 2",1864.05,44.7426121111111,11,0.931780300024819,0.0559379990896164,0.566030660997604
"Bullet 2","Land 2",1864.695,44.4769555555556,11,0.778641828519696,0.0560182483312314,0.559109825175374
